job_position,company,location,career_level,qualification,years_of_exp,job_type,job_spec,job_details,salary,posted_date
Supplier Quality Engineer - Anodization / Coating,LAM RESEARCH INTERNATIONAL SDN. BHD.,Penang,Senior Executive,"Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree",7 years,Full-Time,"Engineering, Chemical Engineering","Job Responsibilities:
The candidate will be responsible for performing professional engineering examination and evaluation of Lam’s suppliers for surface treatments including precision cleaning, coating, anodizing, plating, and micro-contamination control. The ideal candidate will play an active role managing projects and products relative to supplier manufacturing development, quality initiatives, supplier selection, problem solving as well as designing and conducting independent experiments and tests. Project management duties include working with cross-functional teams consisting of supply business management, engineering, manufacturing, field service and suppliers to provide feedback and requirements during new product development through to production release. Candidates need to exhibit excellent problem-solving skills: defining the problem, identifying objectives, assessing risk, developing approach, analyzing results and providing recommendations. Ideal candidate will direct and independently manage manufacturing process/quality implementation of required changes and modifications at suppliers.
Other Job Responsibilities:
Ensure suppliers’ manufacturing processes are in place to produce reliable products in a repeatable manner. Develop and audit quality control systems. Develop and drive supplier improvement plans.
Develop and execute plans for failure analysis on products returned from the field related to inorganic, organic, and particle contamination and material issues.
Coordinate development activities with suppliers and product groups in developing new products.
Conduct effective supplier visits in evaluating and managing new and existing suppliers.
Design and execute an experiment, review data, develop conclusions.
Implement industry standard process control techniques such as six sigma techniques to manage and develop production efficiencies and quality for Lam products.
Minimum Qualification:
Minimum Education: BS/MS degree in a technical field listed in (but not limited to) the following: Chemistry Engineering, Chemistry, Material Science.
7+ years applicable experience specific to surface treatments such as anodizing, coating, and plating, contamination control, precision cleaning, material science, and manufacturing processes and design, preferably in the semiconductor industry.",,Posted on 21-May-21
Senior Software Engineer,Nezda Malaysia,Johor,Senior Executive,"Bachelor's Degree, Post Graduate Diploma, Professional Degree",3 years,Full-Time,"Computer/Information Technology, IT-Software","JOB DESCRIPTION:

o     Develop complex areas of the application, analysing requirements and creating technical design documents, presenting designs to other team members, analytical techniques and user experience strategies to effectively meet requirements
o     Act as principle investigator or lead to investigate problems, develop solutions and prepare recommendations
o     Collaborate on planning, development, and testing to meet “definition of done” criteria
o     Design, develop, review, re-factor, and maintain software with quality and performance in mind
o     Take initiative to identify issues and work collaboratively across teams to resolve problems
o     Identify and manage risks for schedule and quality with the team and ask for help when needed
o     Be effective in reflection, retrospection, and constant incremental improvement

QUALIFICATIONS:

o     Experience working with one or more of the following technologies: .NET Core, PowerShell, microservices design pattern, MSSQL
o     Experience in developing HR Software products is an added advantage
o     B.S. or M.S. in Computer Science or equivalent in experience
o     3+ years of hands-on software development experiences in C++ or Java/C#.
o     Experiences working with HTML5/JavaScript/jQuery/CSS3 development including frameworks such as Angular, Bootstrap, React and Entity Framework
o     A strong understanding of OOD, data structure, and algorithm.
o     A good understanding of the software development cycle and Agile development practice.
o     A passion for solving complex and interest problems
o     Excellent communication skills both verbal and written in English & Mandarin as the role require to liaise with Mandarin speaking client as well.
 ",,Posted on 21-May-21
Nurse,UCSI Laurent Bleu Skin Science & Wellness Centre,Kuala Lumpur,Junior Executive,"Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree",2 years,Full-Time,"Healthcare, Practitioner/Medical Asst","Job Description
Location: Covid-19 testing site
Working hours: Mon-Sat (8.30am - 5.30pm) (with 1-hr lunch break)
To provide assistance and support to the doctor in all aspects of the clinic operations including reception, consultation, procedures, customer service, products and services.
To ensure efficient and coordinated clinic operation flow by coordinating and planning clinic activities, communicate patient’s needs, make referrals and serve as a resource person for insurance information.
To deliver direct patient care; comprehensively assess patients’ needs; triage patients and report accordingly; manage messages from patients; perform stock-keeping; maintain patients’ rooms and treatment instruments.
To administer medication as assigned; serve as a resource person for knowledge of medication uses, side effects, and dosage; check for proper medication order; document medications; obtain required consent forms to administer immunisations; notify the pharmacies of physician-approved prescriptions; review drug samples to ensure they have not exceeded the expiration date; label sample drugs and educate patients of the medication administration.
To provide nursing care in the Operating Department.
To act as the scrub or circulating nurse during surgical procedures.
To carry out safety checks of swabs, instruments and needles in the Operating Room.
To ensure compliance in the Operating Room.
To assist the doctor in all areas of compliance in the Operating Room.
To perform other duties as assigned by the doctor, Operations Manager and Chief Executive Officer.
To take part and play an active role in all activities organised by Laurent Bleu e.g. exhibitions, roadshows.
ADMINISTRATION: To ensure administration work is completed and updated at the end of the day (patient registration, patient billing, daily sales revenue, stock list, reports).
REGISTRATION AND BILLING: To ensure complete proper registration and data entry processes for the patient at all times – confirm all daily sales revenue (including cash, credit cards, cheques, etc.) is accurate and accounted for at all times to prevent discrepancy.
STOCK MANAGEMENT: To maintain and monitor stocks – ensure stocks are available and prepared prior to treatments – report any expired, damaged or missing products to the
TRAINING AND DEVELOPMENT: To maintain up-to-date knowledge on products and services – participate in the training programme and continuously strive to improve the delivery of products and services through training and feedback.
Job Requirement
Possess at least a Diploma in Nursing.
Possess at least a minimum of 2 years working experience in related field.
Possess excellent communication and customer service skills.
Detailed oriented, quick witted and pleasant personality.
Possess a high knowledge in medical terminology.
Possess the ability to maintain confidentiality.
Possess current Nursing Annual Practicing Certificate.",,Posted on 23-May-21
Java Developer,CTOS Data Systems Sdn Bhd,Kuala Lumpur,Junior Executive,"Professional Certificate, Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree",3 years,Full-Time,"Computer/Information Technology, IT-Software","Responsibilities : 
Work closely with system analyst to develop modules of the initial enterprise system plan according to the requirement and functional specification
Update technical specifications and perform code commit/merging in to corresponded GitLab/SVN.
Prepare unit and integration test that will goes in to Sonar and Jenkin scheduled automation procedure.
Support peer review and sharing on any coding and latest technology stack basis
Maintaining the systems once they are up and running
Build, test and support various applications at the request of the business support department
Execute all deployment of system features and monitor for successful integration, maintaining the system throughout its lifecycle
Using Jira as the tracker tools for development and other support which link to GitLab linkage
Requirements : 
Candidate must possess at least a Professional Certificate, Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree, Computer Science/Information Technology or equivalent.
Preference for those certified with Java Certification and with at least minimum of 5 years of experience. 
Exposure to both web and mobile application development will be beneficial 
Exposure to software control products such as GITlab, Jenkins, Jira and SONAR would be an advantage. 
Demonstration of team working capability/ working in a multi-cultural environment will be an advantage. 
Linux/RedHat OS experience 
Addtional tool(s) : Subversion, Netbeans, Eclipse
Experienced in Java, Maven, Hibernate, Struts, Spring, Spring Boot, Angular, Node.js, MySQL, Tibero, Hadoop
Experienced in continuous delivery and automation testing using Gitlab and Jenkin
Experienced in code coverage using Sonar","MYR 4,500 - MYR 9,000",Posted on 21-May-21
AUTOMATION SOFTWARE SENIOR ENGINEER,SANMINA-SCI SYSTEMS (MALAYSIA) SDN BHD,Penang,Senior Executive,"Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree",5 years,Full-Time,"Engineering, Mechanical","Responsibilities:
Design, develop, test and debug automation application (Vision System, Motion, Robotics) software codes for automated machine.
Decide best Vision System hardware such as camera, lens, lighting and sensors for vision system and integration with ancillary equipment such as conveyors, reject/pass mechanism, Pick and Place system, robotics as well as factory network system.
Maintain software updates/revision control and standardization of GUI, application and module.
Work closely with hardware & design team in providing software support and machine testing.
Generate vision control software modules, motion control software modules, robotics and working with IT on machine data integration into factory shop floor system.
Support and provide continuous improvement on automation projects to meet product yield, quality and customer requirements
Requirements:
At least a Degree or Master in Electrical, Electronics, Computer Science, Robotics Engineering or equivalent.
Minimum 5 years of experience with automated equipment and vision system.
Detail oriented and must possess good knowledge and experience in developing software for automated equipment.
Hands-on experience in automated machine software development for vision system, sensor, PLC, motion control & robotics..
Knowledgeable in OMRON PLC, Keyence Vision, Cognex Vision, Robotics, 3D vision imaging, Deep learning, etc.
A team player with ability to work independently with high level of motivation and able to collaborate well with other functional groups and customers.
How this career will benefit you:
This is a permanent role
Regional Team exposure in which you will get the opportunity to travel and venture to other regional plants
This is a 5 Day work week job
Flexible working hours",,Posted on 22-May-21
"Linux Engineer, Production Services",Tungsten Network,Kuala Lumpur,Senior Executive,"Bachelor's Degree, Post Graduate Diploma, Professional Degree",3 years,Full-Time,"Computer/Information Technology, IT-Network/Sys/DB Admin","This is a Permanent Role 
Working Hours are - Monday to Friday - 5pm to 2am
The Linux Engineer role within Tungsten Network is responsible for supporting existing infrastructure and applications at Tungsten Network to ensure continued operation of the Tungsten Network service to meet and exceed agreed service levels.  The Linux Engineer role supports a 24/7/365 operation for monitoring our production services and acts as third line support to business users and second line support for Application Support.
Candidates will be expected to learn Tungsten Networks applications and infrastructure and be able to perform troubleshooting and respond to managed service providers regarding alerts within our hosted environments.
The role is full time and reports to Technology Manager, Production Services and would suit an organized, practical and adaptable person with desire to grow and develop technical skills in a fast-growing global company.

Essential Duties and Responsibilities
• Understand Tungsten Network applications and infrastructure and know how to utilize tools to investigate problems reported in each.  Ability to use log aggregation tools such as Splunk or track errors through raw logs is key.
• Understand Tungsten Network computing, storage, and network systems to respond to monitoring alerts from production systems and resolve or direct questions to development groups for assistance in resolving possible bugs.
• Understand Amazon Web Services (Cloud Computing Services) and able to perform basic troubleshooting when necessary.
• Act as second line support for Application Support on problem investigations for document processing and file transfer software.
• Act as third line of support for business users performing problem investigations for client facing support teams for document processing and file transfer software.
• Act as the main person to maintain application that running in Unix/Linux environment. Perform housekeeping and develop custom script when required. 
• Able to prioritize and manage several open issues at one time.
• Able to spot repetitive issue and suggest permanent solution by fixing the root issue.
• Identify problem areas with existing applications and create tool or custom script to streamline processes.
• Perform basic troubleshooting on network problems; escalating problems to managed service provider if needed.
• Participate in all training for any new release/product to production environments and ensure all documentation are available and able to provide support post training.
• Participate in paid weekend on-call rotation for key services in client facing environments.

Education
• Bachelors/A Level or equivalent degree in Computer Science, Computer Information Systems, or similar

Experience
• 2-3 years administrating Windows and Linux Production Environments
• Minimum 2-3 years exposure on the Perl /Phyton/Bash scripting
• Minimum 2-3 years commercial experience as Level 2 support with background PL/SQL
• Minimum 2-3 years hands on experience in installing and configuring Splunk

Personal Attributes
• Organized – Able to keep track of an environment with many different workflows across heterogeneous systems.
• Detail Oriented – Able to identify relevant information out of a broad expanse of available documentation and logging.
• Knowledgeable – Familiar with a broad set of IT concepts (networking, storage, Windows, Linux) yet not necessarily a master of all of them, but Linux is a must.
• Flexible – Able to adapt to fast-moving environment and independently as well as with team.

Core Competencies (Skills Matrix)
Optimum Index Level (1-5, 5 being highest)
COMMUNICATION
Communicate via Ticketing System (Service Cloud), E-Mail and Phone in a helpful, polite manner. 5
Able to communicate changes in business applications to business users. 5

UNIX/LINUX PRODUCTION ENVIRONMENT
Understand Linux CLI (CentOS/RHEL Preferred) 4
Able to investigate Linux/Unix Services and control as needed 4
Able to configure common Linux Services (nfs, smb, sendmail, sshd, ftpd) 4
Understand Perl, Phyton and Bash scripts used in Tungsten Network workflows 4

WINDOWS PRODUCTION ENVIRONMENT
Understand Active Directory, DNS, DHCP, and other domain services 3
Understand Windows Batch Scripts and command line functions used in Tungsten Network workflows 3
Understand common log searching techniques (Splunk, Agent Ransack, grep, etc) 4

STAGING/ON-BOARDING ENVIRONMENTS
Understand Staging and Test environments in AWS  3
Control AWS computing resources by AWS console 3

CONNECTIVITY
Understand Network Infrastructure and how traffic is routed across VPN linked sites 4
Understand file transfer process at all OSI layers 4
Understand FTP, SFTP, HTTP(S), and AS2 file transfer methods in depth 4
Experience with enterprise level Managed File Transfer software (SecureTransport, CLEO Harmony, Globalscape, Seeburger) 4
Able to track files through multiple systems from external connectivity through to documented workflows driven by batch/bash/perl scripts. 4
Hands on experience with connectivity related command line applications for sending/receiving files and cryptography (OpenPGP, openssl, putty/puttygen, ssh-keygen, curl, wget, psftp) 4
Able to troubleshoot connectivity issues, identify firewall vs. application level errors and pinpoint issues with specific configurations. 5
Understand mail based (SMTP) connectivity workflow 3

ORACLE/SQL ENVIRONMENT
Able to gather data from SQL Database in efficient manner (SELECT, JOIN, COUNT, etc) 3
Understands Tungsten Network database schema and how to gather relevant information from Oracle environment for individual services 3
Understand support structure for Oracle / MySQL DBAs and infrastructure 3
Able to write SQL scripts for safely updating, inserting, or deleting information from Oracle DB 3

SCRIPTING LANGUAGES
Ability to read and understand Windows batch scripts 4
Ability to read & write Perl/Phyton/Bash scripts 4

NETWORKING 
Ability to read and understand firewall logs 4
Ability to make use of network monitoring tool on troubleshooting connectivity issue 4",,Posted on 25-May-21
Site Reliability Engineer (SRE),REALTEK SEMICONDUCTOR (MALAYSIA) SDN. BHD.,Kuala Lumpur,Senior Executive,Master's Degree,3 years,Full-Time,"Computer/Information Technology, IT-Software","Job Descriptions
1、Deep dive into development lines, learning and understanding the mechanism of every automation components, and promoting product scalability, stability, and performance.
2、Perform regular and ad-hoc server-side deployments, performance fine-tuning and troubleshooting.
3、Design and develop automated technical operation platform.
4、Capacity and Resource management for server-side facilities.
5、Maintain CI/CD Service for teams to make development more efficient
6、Build tools to automate operations.
Job Requirements
Minimum Qualifications:
1、Ability to communicate, reading, and writing in English.
2、Master's degree or over in Computer Science or related field, and over 3 years working experience and strong understanding with DevOps and SRE concepts.
3、Familiar with at least two programming languages: C, C++, Java, Go.
4、Good Shell script skill with at least one scripting language: Bash, Perl, Python, Ruby.
5、Extensive and hands-on knowledge with Linux operating system (Ubuntu, CentOS, etc.).
Preferred Qualifications:
1、Knowledge of Network infrastructure, Computer Organisations and OS.
2、Have experience with C/C++ test framework such as CppUnit, Google test.
3、Have experience with Cloud technologies such as Google Cloud Platform, AWS, Azure, Elastic Cloud.
4、Have experience with Container systems such as Docker, Kubernetes, Gitlab.
5、Have experience with Linux and open source products.
6、Have experience with requirement analysis, system analysis/design, building and maintaining data pipelines.
7、Strong ability to thrive under a difficult and stressful situation.
8、Fast learning ability and a good team player.
9、Good problem-solving ability.",,Posted on 22-May-21
Information Security Specialist,NS BlueScope Asia Sdn Bhd,Shah Alam/Subang,Senior Executive,"Bachelor's Degree, Post Graduate Diploma, Professional Degree",3 years,Full-Time,"Computer/Information Technology, IT-Network/Sys/DB Admin","NS BlueScope ASEAN IS (Information Services) group consists of 44 energetic IT professionals located across 5 different countries (Indonesia, Malaysia, Singapore, Thailand & Vietnam) in ASEAN. The team provide services in IT Enterprise Infrastructure, Applications, as well as Data & Analytics to support and enable NS BlueScope business needs. Collectively, IS is responsible for keeping all IT systems and applications operating efficiently and in good health. In addition, the group is responsible for assessing and deploying new technology to enable new business capabilities working closely with all business functions.
The working environment is open and fast-paced, providing plenty of opportunities for aspiring IT professionals to learn and excel. Being a multinational company, we have a complete set-up and integration of IT infrastructure, business applications and data analytics capabilities, and at the same time, remain nimble and agile in evolving our technology and people capabilities as needed. In NS BlueScope ASEAN IS, IT professionals have an opportunity to work in a multi-national multi-cultural work environment, with access to and to learn different technology platforms and applications, and to work closely with business counterparts in solving real business problems and enable new business solutions.
The Information Security Specialist role exists to ensure the ongoing support of incident / alerts handling and security operations within ASEAN region and to maintain the confidentiality, integrity, availability, accountability and relevant compliance of NS BlueScope ASEAN information systems with legislation, regulation and BlueScope relevant standards. This role will work closely with technical/business stakeholders across ASEAN as well as managed security service provider (MSSP) and is a member of the global security team.
 Responsibilities:

Security incident and handling (30%)
Responsible for the daily real time monitoring and analysis of security events from multiple sources in ASEAN region.
Triage security incidents including unauthorized access, phishing, malware infection and Assist in incident investigation and responses.
Serve as an escalation point and technical owner for incidents/alerts regarding vulnerabilities.
Lead the communication during and after an incident with relevant stakeholders such as system/business owners and MSSP.
Attend weekly meetings with MSSP to provide updates and identify gaps to improve the incident handling process.

Security Operations (30%)
Support the monthly vulnerability management rollout within the ASEAN region and to ensure security patches are rolled out within the defined SLA period. Provide advisory to stakeholders on the change control process and risk assessment.
Support the ongoing operations of key security controls with MSSP in ASEAN region.
Create monthly security reporting and metrics around security monitoring for updates to stakeholders (asset owners and management) consumption.

Governance, Risk Management and Compliance (20%)
Providing consultancy, advice and security reviews on technical matters relating to Information Security to existing/new application, infrastructure, and business operation teams to comply with legislation, regulation, and BlueScope relevant standards.

Security Projects & Initiatives (20%)
Work closely with local/central team on systems architecture, infrastructure, and operations team to ensure the timely delivery of security project & initiatives within the ASEAN region.
Support new initiatives and proof-of-concept as part of the Global security team.

Qualification and/or experienced required:
Minimum 3 to 5 years of experience working in information security management, security operations and incidents handling
Bachelor's degree in Information Security, Computer Science or related subject.
Possess security certifications such as CISSP is preferred
Working knowledge in security standards such as NIST CSF, ISO 27001/02 is preferred
Familiar with security technologies such as network firewall support/maintenance, IDS, endpoint security solutions, access control systems, data security protection and other related security technologies within IT/ICS environment
Passion in the cybersecurity domain and has a keen to learn attitude by staying up to date on cyber security technologies is preferred",,Posted on 7-May-21
Mobile Developers,Greenwave Technology Sdn Bhd,Petaling Jaya,Junior Executive,"Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree",2 years,Full-Time,"Computer/Information Technology, IT-Software","Job brief
We are looking for mobile developers who possess a passion for pushing mobile technologies to the limits and will work with our team of talented engineers to design and build the next generation of our mobile applications.
Responsibilities
Design and build advanced applications for the iOS and the Android platforms
Collaborate with cross-functional teams to define, design, and ship new features.
Work with outside data sources and APIs
Unit-test code for robustness, including edge cases, usability, and general reliability.
Work on bug fixing and improving application performance.
Continuously discover, evaluate, and implement new technologies to maximize development efficiency.
Requirements
BS/MS degree in Computer Science, Engineering or a related subject
2-5 years working experience in mobile application development
Working experience in iOS Xcode and/or Android SDK
Have published one or more apps in the app store
Experience with third-party libraries and APIs
Working knowledge of the general mobile landscape, architectures, trends, and emerging technologies",,Posted on 21-May-21
Software Developer (Trading Solution),iFAST Capital Sdn Bhd,Kuala Lumpur,Entry Level,"Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree",1 year,Full-Time,"Computer/Information Technology, IT-Software","Starting Pay of up to MYR 6,000 for Top Graduates
You will join our IT team which is always buzzing with new ideas and incentive to innovate. Consisting of IT specialists who have diverse skills in software development, the team members also bring with them cross-market experience, having worked on projects locally and also across the other markets in the Group. If you are hungry for new experiences and you cannot wait to think of the next best way to achieve our mission statement, “To help investors around the world invest globally and profitably”, this is the place for you.
Responsibilities:
Developing of high frequency trading solutions.
Build exchange market data solution.
Manage global market trading solution.
Involving in system testing and debugging.
Requirements:
Degree in computer Science or related field.
Good to have skills:Java Spring,
Maven,
Dot Net,
C++.
Weblogic Application Server &
Microsoft Database.
Knowledge and exposure in IT development with data messaging will be advantages.
Conversant in both English and Mandarin languages to liaise with Mandarin speaking associates.
Fresh graduates are encouraged to apply, training will be provided.
Applicants are invited to send us a comprehensive resume with the following details via ""Apply Now"" button with:
Qualifications
Skills
Working Experience
Expected Salary
All applications will be treated in strict confidence. We regret that only shortlisted applicants will be notified.
Note: Job responsibilities / requirements are representative and are not intended to be a detailed list. Other tasks/abilities may be required of the incumbent, relative to the specific assignment.","MYR 5,400 - MYR 6,000",Posted on 19-May-21
Java Software Developer,MECAN APP SDN. BHD.,Selangor,Junior Executive,"Bachelor's Degree, Post Graduate Diploma, Professional Degree",1 year,Full-Time,"Computer/Information Technology, IT-Software","Job Responsibilities:
Participate in all phases of the software development lifecycle.
Design and implement applications in line with specifications.
Write well designed, testable, and efficient code.
Perform testing of software components.
Prepare and produce releases of software components.
Support and troubleshoot technical problems across multiple environments.
Job Requirements:
Bachelor’s Degree in Computer Sciences / Software Engineering / Information Technology.
Well versed with Object Oriented analysis and design using common design patterns.
Hands on experience with Model-View-Control Architecture (MVC) based applications.
Excellent knowledge of Relational Databases, SQL and ORM technologies such as JPA and Hibernate.
Hands on experience in designing and developing applications using Spring Boot, Spring MVC, Spring Data, Spring Security.
Proficient understanding of web service-related technologies: RESTful web service, SOAP, Jax-RS, JSON, XML.
Experience in Linux or Unix platform.
Experience in code versioning tools, such as GIT or SVN.
Knowledge on CI/CD and DevOps Tools (Maven, Gradle, Jenkins, Docker, Kubernetes) is a plus.
Strong analytical, troubleshooting, and problem-solving skills.
Ability to cope with tight deadlines and adhere to the delivery plan.
Ability to work as part of a team.
Excellent written and verbal communication.
Minimum 2 years working experience in the related field. ","MYR 5,000 - MYR 8,000",Posted on 22-May-21
QA Executives,KJM Aluminium Can Sdn Bhd,Nilai,Junior Executive,"Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree",2 years,Full-Time,"Manufacturing, Manufacturing","Job Descriptions
 Verify incoming material COA
 Ensure all quality inspections and controls are according to the documented procedures and all QC Inspectors are adhering to the procedures.
Raise CAR for non-conformance product and raw material and ensure corrective actions formulated to prevent recurrence of non-conformance products are carried out.
 Ensure all quality control equipment are calibrate on time and calibration report are verified and file accordingly.
Verify QC Technician forms daily and ensure all necessary cut off are done correctly and sufficient.
 Monitor SPC data to ensure the results and frequency are in accordance to quality control plan.
 Follow up on new material trial and prepare the new material evaluation report
Involve in investigation and discussion with relevant operation team on quality issues.
Responsible in setting up and maintaining the functionality and effectiveness of the SPC network system, COA system and quality inspection equipment.
 Plan and conduct yearly refresher training to QC/QA team and as-and-when required on One Point Lesson.
Compile and submit monitoring / evaluation reports
Involve in new and upgrading projects as and when required.
Monitor and assess QC team performance
Involve mock recall activities
Involve in audits, e.g: supplier audit, customer audit, internal audit, etc
Ensure housekeeping at QC workplace are clean & properly maintained at all times.
To perform any duties assigned by immediate superior or QA management.
Job requirements :-
Degree / Diploma in Food Science, Chemical Engineering
 Minimum 2 years working experience in manufacturing
Fresh graduates are encourage to apply
 Proficient in problem analysis and solution techniques, familiar with machine –control charting and process specifications.
 Must be able to communicate clearly and effectively within and inter-department.
Proficient in organizing reports, presentations and other documents and to meet target and deadlines as per request.",,Posted on 21-May-21
Software Developer (.NET),Talentbook Solutions Sdn Bhd,Kuala Lumpur,Junior Executive,"Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree",1 year,Full-Time,"Computer/Information Technology, IT-Software","We are looking for dedicated personality to join our big family as a Software Developer (.NET).You will be the key person responsible for the system analyses, designs, languages for a specific assigned software system
You will play an important role, such as:
Identifying and resolves application, database software, and programming problems.
Designing and defines specifications for systems.
Defining specifications and develop programs, modifies existing programs, prepares test data, and prepares functional specifications.
Analysing program performance during execution while using various programming languages and techniques.
Identifying potential process improvement areas and suggests options and recommends approaches.
To succeed in this role, we will need you to have:
1-3 years’ experience is required for the Junior .Net Developer position and 5+ years experience for the Senior .Net Developer position
At least Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree, Computer Science/Information Technology, Engineering (Computer/Telecommunication), Science & Technology or equivalent.
Good experience in C#, ASP.Net, MS SQL development environment
How this career will benefit you?
A conducive environment to work and grow
Constant challenges and opportunity to prove yourself.
Other benefits you might be interested:
Travel allowance
RM1000 certification allowance annually
Annual bonus
Insurance coverage
Work from home
Are you ready to make that career shift & grow a great portfolio with us? Click the ‘Apply Now’ button and we will get in touch with you soon.","MYR 4,700 - MYR 6,600",Posted on 21-May-21
Full Stack Developer,Entrypass Corporation Sdn. Bhd,Cyberjaya,Junior Executive,"Diploma, Advanced/Higher/Graduate Diploma",1 year,Full-Time,"Computer/Information Technology, IT-Software","Responsibilities:
Design and develop backend and frontend for web-based systems
Perform analysis of functional and business requirements
Prepare code stubs for others
Complete code to implement solutions
Contribute to design activities and design solutions
Apply in-depth or broad technical knowledge to maintain one or more technology areas (e.g. CI/CD, DevSecOps, cloud-centric, cross-platform, data analytics, AI integration)
Perform solution design. Applies the company and 3rd party technologies to highly complex infrastructure and software solutions
Independently implement end-user or enterprise infrastructure of moderate complexity or services prepared by senior technologists for more complex solutions
WHAT WE ARE LOOKING FOR:
Candidate must possess at least a Bachelor's Degree / Post-Graduate Diploma / Professional Degree in Computer Science / Information Technology or equivalent
Hands-on experience in Node.js and PHP. Familiar with modern web frameworks such as Laravel ,Angular, React, Vue.js.
Advanced Knowledge in CSS, HTML, Javascript, PHP, MySQL, PostgreSQL, RESTful API, AWS Cloud
Basic knowledge in Golang and familiarity in working with Git is an advantage
Solid CI / CD experience with the above tech-stack or others is highly desirable
At least 2 years of experience in the related field is required
Process good verbal and written communication skill in English
Proactive and able to work independently and as part of a team
Basic knowledge of Scrum framework
Willing to learn with strong senses of responsibility",,Posted on 21-May-21
PHP Backend Developer,Minify Solution,George Town,Junior Executive,"Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree",1 year,Full-Time,"Computer/Information Technology, IT-Software","Job Description:
Compile and analyze data, processes, and codes to troubleshoot problems and identify areas for improvement.
Collaborating with the front-end developers and other team members to establish objectives and design more functional, cohesive codes to enhance the user experience.
Developing ideas for new programs, products, or features by monitoring industry developments and trends.
Recording data and reporting it to proper parties, such as clients or leadership.
Participating in continuing education and training to remain current on best practices, learn new programming languages, and better assist other team members.
Taking lead on projects, as needed.
Requirements:
BS degree in Computer Science, Engineering, MIS or similar relevant field.
Fluency or understanding of specific languages, such as Java, PHP, Python, Nodejs, and operating systems may be required.
Strong understanding of the web development cycle and programming techniques and tools.
Focus on efficiency, user experience, and process improvement.
Excellent project and time management skills.
Strong problem solving and verbal and written communication skills.
Ability to work independently or with a group.
5 position(s) of Junior and Senior are available.","MYR 4,000 - MYR 7,500",Posted on 6-May-21
Full Stack Developer,Bjak Sdn Bhd,Petaling Jaya,Entry Level,"Bachelor's Degree, Post Graduate Diploma, Professional Degree",,Full-Time,"Computer/Information Technology, IT-Software","Responsibilities
Design, build and deploy changes to our web app
Implement and deploy RESTful APIs to our backend service
Contribute to all phases of product development (Design, Implement, Monitor, Feedback)
Debug and resolve client issues
Write well designed, testable code. TDD is a plus!
Participate in design reviews and code reviews
Be eager to learn and operate independently.
Requirements
BS/MS degree in Computer Science, Engineering or a related subject
Proficient in fundamentals of CS such as Data Structures, Algorithms, Operating Systems etc
Have a good sense in UI designs
Programming experience in Javascript/Typescript
Familiar with the whole web stack, web protocols, and web performance optimisation techniques
Experience shipping web applications to production
Experience with NodeJS is a plus
Experience with MongoDB is a plus
Experience with ReactJS is a plus
Experience with Kubernetes and Docker is a plus
Strong User Interface design sense and implementation
Strong fundamentals on testable code, design pattern and engineering best practice best practices
Why Join Us
You will be working in a fast-growing startup that promotes flexible and open culture.
You will learn the latest technologies which will add value to yourself and give you an edge in today's job market.",,Posted on 21-May-21
